iter	Passed	Remaining
0	4	1239
1	7	1079
2	11	1142
3	14	1085
4	18	1090
5	21	1064
6	25	1080
7	29	1067
8	32	1058
9	36	1047
10	39	1032
11	43	1046
12	46	1033
13	50	1041
14	54	1028
15	58	1039
16	62	1034
17	66	1035
18	69	1027
19	73	1028
20	76	1020
21	79	1010
22	83	1009
23	87	1005
24	91	1008
25	94	1000
26	99	1004
27	102	996
28	107	1001
29	110	995
30	114	993
31	118	989
32	121	983
33	124	977
34	128	970
35	132	968
36	135	961
37	139	959
38	142	951
39	145	943
40	148	938
41	151	931
42	155	928
43	158	921
44	161	917
45	165	912
46	168	905
47	171	902
48	175	897
49	179	895
50	182	889
51	185	883
52	188	878
53	191	871
54	195	869
55	198	863
56	201	857
57	204	854
58	207	848
59	211	846
60	214	841
61	217	836
62	221	832
63	224	827
64	227	824
65	231	819
66	234	817
67	238	813
68	241	809
69	245	805
70	247	799
71	251	796
72	254	792
73	257	787
74	261	783
75	264	778
76	267	775
77	271	771
78	274	768
79	277	764
80	281	759
81	285	757
82	288	753
83	291	749
84	294	745
85	297	740
86	301	738
87	304	733
88	308	730
89	311	726
90	315	723
91	318	719
92	321	715
93	325	712
94	327	707
95	331	704
96	334	700
97	337	696
98	341	692
99	344	688
100	347	685
101	350	681
102	353	676
103	357	673
104	360	669
105	364	666
106	367	662
107	370	658
108	373	655
109	376	651
110	380	647
111	383	643
112	386	640
113	389	636
114	393	632
115	397	629
116	399	625
117	403	622
118	407	619
119	410	616
120	414	612
121	417	609
122	421	606
123	425	603
124	428	600
125	431	596
126	435	592
127	438	589
128	441	585
129	445	582
130	448	577
131	451	575
132	455	571
133	458	567
134	461	564
135	464	560
136	468	557
137	471	553
138	475	550
139	478	547
140	482	543
141	485	540
142	488	536
143	492	533
144	495	529
145	499	526
146	502	522
147	505	518
148	508	515
149	511	511
150	515	508
151	518	505
152	521	501
153	525	498
154	528	494
155	534	493
156	537	489
157	542	487
158	545	483
159	549	480
160	552	477
161	556	474
162	559	470
163	563	467
164	567	464
165	570	460
166	574	457
167	577	453
168	581	450
169	584	447
170	589	444
171	592	441
172	596	437
173	599	434
174	603	431
175	607	428
176	611	424
177	614	421
178	617	417
179	621	414
180	624	410
181	628	407
182	631	403
183	634	399
184	637	396
185	640	392
186	644	389
187	647	385
188	650	382
189	653	378
190	657	374
191	660	371
192	664	368
193	667	364
194	670	361
195	673	357
196	677	354
197	680	350
198	683	347
199	687	343
200	689	339
201	693	336
202	696	333
203	700	329
204	703	326
205	707	322
206	710	319
207	713	315
208	716	312
209	719	308
210	722	304
211	726	301
212	729	297
213	733	294
214	736	291
215	739	287
216	742	284
217	745	280
218	749	277
219	752	273
220	756	270
221	759	266
222	762	263
223	766	259
224	769	256
225	772	253
226	776	249
227	779	246
228	782	242
229	785	239
230	789	235
231	792	232
232	795	228
233	798	225
234	801	221
235	805	218
236	808	214
237	812	211
238	815	208
239	818	204
240	822	201
241	825	197
242	828	194
243	832	190
244	835	187
245	838	184
246	841	180
247	845	177
248	848	173
249	852	170
250	855	166
251	858	163
252	861	160
253	864	156
254	868	153
255	872	149
256	875	146
257	878	143
258	881	139
259	885	136
260	888	132
261	892	129
262	895	126
263	898	122
264	902	119
265	905	115
266	909	112
267	912	108
268	915	105
269	918	102
270	921	98
271	925	95
272	928	91
273	931	88
274	934	84
275	938	81
276	942	78
277	945	74
278	949	71
279	953	68
280	956	64
281	959	61
282	962	57
283	966	54
284	969	51
285	972	47
286	984	44
287	987	41
288	990	37
289	993	34
290	997	30
291	1000	27
292	1003	23
293	1008	20
294	1012	17
295	1016	13
296	1019	10
297	1023	6
298	1027	3
299	1031	0
